Function Name,deprecated_info,Function call
parallel_backend,msg,__init__.parallel_backend
tosequence,"""tosequencewasdeprecatedin1.5andwillberemovedin1.7""",__init__.tosequence
MockClass1,"""qwerty""",test_deprecation.MockClass1
method,"""mockclass2_method""",test_deprecation.method
__init__,,test_deprecation.__init__
MockClass6,"""amessage""",test_deprecation.MockClass6
mock_function,,test_deprecation.mock_function
fit,"""Deprecatedforthepurposeoftestinghas_fit_parameter""",test_validation.fit
fit,"""Deprecatedforthepurposeoftestingcheck_fit_score_takes_y""",test_estimator_checks.fit
score,"""Testingadeprecateddelegatedmethod""",test_testing.score
fit,"""Testingdeprecatedfunctionwithwrongparams""",test_testing.fit
