Function Name,deprecated_info,Function call
__init__,"""2016-11-30"",""Pleaseswitchtotf.summary.FileWriter.Theinterfaceand""""behavioristhesame;thisisjustarename.""",summary_io.__init__
__init__,"None,'Usetf.gfile.GFile.'",gfile.__init__
unwrap,"None,""use`experimental_local_results`instead.""",distribute_lib.unwrap
configure,"None,""use`update_config_proto`instead.""",distribute_lib.configure
experimental_run,"None,""ThismethodisnotavailableinTF2.x.Pleaseswitchtousing`run`instead.""",distribute_lib.experimental_run
experimental_run_steps_on_iterator,"None,""pleaseuse`run`instead.""",distribute_lib.experimental_run_steps_on_iterator
initialize,"None,""Usetheiterator's`initializer`propertyinstead.""",distribute_lib.initialize
initialize,"None,""Usetheiterator's`initializer`propertyinstead.""",input_lib.initialize
count_up_to,"None,""PreferDataset.rangeinstead.""",variables.count_up_to
load,"None,""PreferVariable.assignwhichhasequivalentbehaviorin2.X.""",variables.load
all_variables,"""2017-03-02"",""Pleaseusetf.global_variablesinstead.""",variables.all_variables
initialize_variables,"""2017-03-02"",""Use`tf.variables_initializer`instead.""",variables.initialize_variables
initialize_all_variables,"""2017-03-02"",""Use`tf.global_variables_initializer`instead.""",variables.initialize_all_variables
initialize_local_variables,"""2017-03-02"",""Use`tf.local_variables_initializer`instead.""",variables.initialize_local_variables
initialize_all_tables,"None,""Use`tf.tables_initializer`instead.""",lookup_ops.initialize_all_tables
init,"""2018-12-15"",""Use`initializer`instead.""",lookup_ops.init
count_up_to,"None,""PreferDataset.rangeinstead.""",ref_variable.count_up_to
__init__,"None,""Usetf.initializers.variance_scalinginsteadwithdistribution=""""uniformtogetequivalentbehavior.""",init_ops.__init__
count_up_to,"None,""PreferDataset.rangeinstead.""",resource_variable_ops.count_up_to
count_up_to,"None,""PreferDataset.rangeinstead.""",state_ops.count_up_to
var_scope,"""2017-02-21"",""The.var_scopepropertyisdeprecated.Pleasechangeyour""""codetousethe.variable_scopeproperty""",template.var_scope
auc,"None,'ThevalueofAUCreturnedbythismayracewiththeupdateso''thisisdeprecated.Pleaseusetf.keras.metrics.AUCinstead.'",metrics_impl.auc
sparse_average_precision_at_k,"None,'Useaverage_precision_at_kinstead'",metrics_impl.sparse_average_precision_at_k
sparse_precision_at_k,"None,'Useprecision_at_kinstead'",metrics_impl.sparse_precision_at_k
histogram_summary,"""2016-11-30"",""Pleaseswitchtotf.summary.histogram.Notethat""""tf.summary.histogramusesthenodenameinsteadofthetag.""""ThismeansthatTensorFlowwillautomaticallyde-duplicatesummary""""namesbasedonthescopetheyarecreatedin.""",logging_ops.histogram_summary
image_summary,"""2016-11-30"",""Pleaseswitchtotf.summary.image.Notethat""""tf.summary.imageusesthenodenameinsteadofthetag.""""ThismeansthatTensorFlowwillautomaticallyde-duplicatesummary""""namesbasedonthescopetheyarecreatedin.Also,themax_images""""argumentwasrenamedtomax_outputs.""",logging_ops.image_summary
audio_summary,"""2016-11-30"",""Pleaseswitchtotf.summary.audio.Notethat""""tf.summary.audiousesthenodenameinsteadofthetag.""""ThismeansthatTensorFlowwillautomaticallyde-duplicatesummary""""namesbasedonthescopetheyarecreatedin.""",logging_ops.audio_summary
merge_summary,"""2016-11-30"",""Pleaseswitchtotf.summary.merge.""",logging_ops.merge_summary
merge_all_summaries,"""2016-11-30"",""Pleaseswitchtotf.summary.merge_all.""",logging_ops.merge_all_summaries
scalar_summary,"""2016-11-30"",""Pleaseswitchtotf.summary.scalar.Notethat""""tf.summary.scalarusesthenodenameinsteadofthetag.""""ThismeansthatTensorFlowwillautomaticallyde-duplicatesummary""""namesbasedonthescopetheyarecreatedin.Also,passinga""""tensororlistoftagstoascalarsummaryopisnolonger""""supported.""",logging_ops.scalar_summary
enable_xla_devices,"None,""XLA:CPUandXLA:GPUdevicesaredeprecated"",warn_once=True",context.enable_xla_devices
start_tracing,"'2020-07-01','use`tf.profiler.experimental.client.trace`.'",profiler_client.start_tracing
monitor,"'2020-07-01','use`tf.profiler.experimental.client.monitor`.'",profiler_client.monitor
start,"'2020-07-01','use`tf.profiler.experimental.start`instead.'",profiler.start
stop,"'2020-07-01','use`tf.profiler.experimental.stop`instead.'",profiler.stop
maybe_create_event_file,"'2020-07-01','`tf.python.eager.profiler`hasdeprecated,use`tf.profiler`instead.'",profiler.maybe_create_event_file
save,"'2020-07-01','`tf.python.eager.profiler`hasdeprecated,use`tf.profiler`instead.'",profiler.save
start_profiler_server,"'2020-07-01','use`tf.profiler.experimental.server.start`.'",profiler.start_profiler_server
Profiler,"'2020-07-01','use`tf.profiler.experimental.Profile`instead.'",profiler.Profiler
