query,original_answer
"Run python script from Node.js (child_process) with named arguments: <p>I have a python script which can be run with this argument on the command line:</p>
<pre><code>python2 arg1 --infile abc.csv --encrypt true --keyfile xyz.bin 1234 WOW path
</code></pre>
<p>However, if I try to do the same thing from Node.js child process, I get an error:</p>
<pre><code>const spawn = require(&quot;child_process&quot;).spawn;

const process = spawn(&quot;python2&quot;, [
  path.join(rootDir, &quot;public&quot;, &quot;python&quot;, &quot;script.py&quot;),
  &quot;arg1&quot;,
  &quot;--infile abc.csv&quot;,
  &quot;--encrypt true&quot;,
  &quot;--keyfile xyz.bin&quot;,
  &quot;1234&quot;,
  &quot;WOW&quot;,
  &quot;path&quot;,
]);
</code></pre>
<p>It is not running and giving an error.
But, If I run without the NAMED ARGUMENTS (--encrypt true) etc, it runs successfully:</p>
<pre><code>const process = spawn(&quot;python2&quot;, [
  path.join(rootDir, &quot;public&quot;, &quot;python&quot;, &quot;script.py&quot;),
  &quot;arg1&quot;,
  &quot;1234&quot;,
  &quot;WOW&quot;,
  &quot;path&quot;,
]);
</code></pre>
<p>I think my way of passing the NAMED args might be incorrect.
Please help!</p>","<p>You may find usefull this atricle:</p>

<p><a href=""https://medium.com/swlh/run-python-script-from-node-js-and-send-data-to-browser-15677fcf199f"" rel=""nofollow noreferrer"">https://medium.com/swlh/run-python-script-from-node-js-and-send-data-to-browser-15677fcf199f</a></p>"
"Run python script from Node.js (child_process) with named arguments: <p>I have a python script which can be run with this argument on the command line:</p>
<pre><code>python2 arg1 --infile abc.csv --encrypt true --keyfile xyz.bin 1234 WOW path
</code></pre>
<p>However, if I try to do the same thing from Node.js child process, I get an error:</p>
<pre><code>const spawn = require(&quot;child_process&quot;).spawn;

const process = spawn(&quot;python2&quot;, [
  path.join(rootDir, &quot;public&quot;, &quot;python&quot;, &quot;script.py&quot;),
  &quot;arg1&quot;,
  &quot;--infile abc.csv&quot;,
  &quot;--encrypt true&quot;,
  &quot;--keyfile xyz.bin&quot;,
  &quot;1234&quot;,
  &quot;WOW&quot;,
  &quot;path&quot;,
]);
</code></pre>
<p>It is not running and giving an error.
But, If I run without the NAMED ARGUMENTS (--encrypt true) etc, it runs successfully:</p>
<pre><code>const process = spawn(&quot;python2&quot;, [
  path.join(rootDir, &quot;public&quot;, &quot;python&quot;, &quot;script.py&quot;),
  &quot;arg1&quot;,
  &quot;1234&quot;,
  &quot;WOW&quot;,
  &quot;path&quot;,
]);
</code></pre>
<p>I think my way of passing the NAMED args might be incorrect.
Please help!</p>","<p>You need to split each part of the argument:</p>

<pre><code>const process = spawn(""python2"", [
  path.join(rootDir, ""public"", ""python"", ""script.py""),
  ""arg1"",
  ""--infile"",
      ""abc.csv"", // indentation for clarity, it's not necessary
  ""--encrypt"",
      ""true"",
  ""--keyfile"",
      ""xyz.bin"",
  ""1234"",
  ""WOW"",
  ""path"",
]);
</code></pre>

<p>Your original script is similar to running this on the command prompt:</p>

<pre><code>python script.py arg1 ""--infile abc.csv"" ""--encrypt true"" ""--keyfile xyz.bin"" 1234 WOW path
</code></pre>

<p>Basically you are passing the argument named <code>--infile abc.csv</code> with the value <code>--encrypt true</code>. Which is not what you intend to run. What you want is:</p>

<pre><code>python script.py arg1 --infile abc.csv --encrypt true --keyfile xyz.bin 1234 WOW path
</code></pre>"
"Parsing XML: Python ElementTree, find elements and its parent elements without other elements in same parent: <p>I am using python's ElementTree library to parse an XML file which has the following structure. I am trying to get the xml string corresponding to entity with id = 192 with all its parents (folders) but without other entities</p>

<pre><code>   &lt;catalog&gt;
        &lt;folder name=""entities""&gt;
            &lt;entity id=""102""&gt;

            &lt;/entity&gt;
            &lt;folder name=""newEntities""&gt;
                &lt;entity id=""192""&gt;

                &lt;/entity&gt;

                &lt;entity id=""2982""&gt;

                &lt;/entity&gt;
            &lt;/folder&gt;
        &lt;/folder&gt;
    &lt;/catalog&gt;
</code></pre>

<p>The required result should be</p>

<pre><code>    &lt;catalog&gt;
        &lt;folder name=""entities""&gt;
            &lt;folder name=""newEntities""&gt;
                &lt;entity id=""192""&gt;

                &lt;/entity&gt;
            &lt;/folder&gt;
        &lt;/folder&gt;
    &lt;/catalog&gt;
</code></pre>

<p>assuming the 1st xml string is stored in a variable called xml_string</p>

<pre><code>tree = ET.fromstring(xmlstring)
id = 192
required_element = tree.find("".//entity[@id='"" + id + ""']"")
</code></pre>

<p>This gets the xml element for the required entity but not the parent folders, any quick solution fix for this?</p>","<p>The challenge here is to bypass the fact that ET has no parent information. The solution is to use <code>parent_map</code> </p>

<pre><code>import copy
import xml.etree.ElementTree as ET
import xml.dom.minidom as minidom

xml = '''&lt;catalog&gt;
        &lt;folder name=""entities""&gt;
            &lt;entity id=""102""&gt;

            &lt;/entity&gt;
            &lt;folder name=""newEntities""&gt;
                &lt;entity id=""192""&gt;

                &lt;/entity&gt;

                &lt;entity id=""2982""&gt;

                &lt;/entity&gt;
            &lt;/folder&gt;
        &lt;/folder&gt;
    &lt;/catalog&gt;'''


def prettify(elem):
    """"""Return a pretty-printed XML string for the Element.
    """"""
    rough_string = ET.tostring(elem, 'utf-8')
    reparsed = minidom.parseString(rough_string)
    return reparsed.toprettyxml(indent=""\t"")

root = ET.fromstring(xml)
parent_map = {c: p for p in root.iter() for c in p}
_id = 192
required_element = root.find("".//entity[@id='"" + str(_id) + ""']"")
_path = [copy.deepcopy(required_element)]
while True:
    parent = parent_map.get(required_element)
    if parent:
        _path.append(copy.deepcopy(parent))
        required_element = parent
    else:
        break
idx = len(_path) - 1
while idx &gt;= 1:
    _path[idx].clear()
    _path[idx].append(_path[idx-1])
    idx -= 1

print(prettify(_path[-1]))
</code></pre>

<p>output</p>

<pre><code>&lt;?xml version=""1.0"" ?&gt;
&lt;catalog&gt;
    &lt;folder&gt;
        &lt;folder&gt;
            &lt;entity id=""192""&gt;

                &lt;/entity&gt;



        &lt;/folder&gt;
    &lt;/folder&gt;
&lt;/catalog&gt;
</code></pre>"
"Take odd one out from a list when comparing with a filtered column using python: <p>I have an excel as shown below:</p>

<p><a href=""https://i.stack.imgur.com/dmKEo.png"" rel=""nofollow noreferrer"">Input File</a></p>

<p>Now I want to filter fruits first from ""Items"" column and check which one in list of ""list"" column is not present in the list. For example: here ""grapes"" is not present in ""Name"" column. So I want grapes as output in next column as shown below.</p>

<p><a href=""https://i.stack.imgur.com/ipx7G.png"" rel=""nofollow noreferrer"">Expected Output Shown</a></p>

<p>The same is to be done for many by filtering each items one by one as I have many items.</p>

<p>Please suggest or give some hints so that i can start this code.</p>","<p>I am naming the excel as Book1</p>

<pre><code>import pandas as pd

frame = pd.read_excel(""Book1.xlsx"")

frame_list_as_String = frame.list.tolist()
frame_list = [x.split(',') for x in frame_list_as_String]
frame_Name = frame.Name.tolist()
frame_col3=[]
for item in frame_list :
    frame_col3.append(list(set(items)-set(frame_Name)))

frame[""col3""]=frame_col3

frame.to_excel(""df.xlsx"", index = False)
</code></pre>"
"How to pass object as paramaters to function?: <p>I have defination of function:</p>

<pre><code>def setup(self, **kwargs):
    pass
</code></pre>

<p>And calling this like:</p>

<pre><code>params = {
        ""advert_id"": adv_id,
        ""enabled"": True,
        ""from_hour"": 2,
        ""to_hour"": 1,
        ""interval"": 0,
        ""weekdays"": [1]
    }

setup(params)
</code></pre>

<p>I tried to pass <code>params</code> as object, but it does not work. I know correct way is:</p>

<pre><code>setup(advert_id=1,enabled=True,from_hour=3,to_hour=4,interval=0,weekdays=[])
</code></pre>

<p>Anyway I don't want to enumerate all parameters and want to pack it to object.</p>","<p>Unpack <code>params</code> in the function call:</p>

<pre><code>def setup(self, **kwargs):
   pass
params = {
    ""advert_id"": adv_id,
    ""enabled"": True,
    ""from_hour"": 2,
    ""to_hour"": 1,
    ""interval"": 0,
    ""weekdays"": [1]
}

setup(**params)
</code></pre>"
"Is there a simple way to add a border to Kivy Buttons: <p>I am using <code>python-2.7</code> and <code>kivy</code>. Can someone tell me that how to add a different colour border to kivy button. </p>

<h1>test.py</h1>

<pre><code>from kivy.uix.screenmanager import Screen
from kivy.app import App
from kivy.core.window import Window

Window.clearcolor = (0.5, 0.5, 0.5, 1)
Window.size = (300, 100)


class User(Screen):
    pass


class Test(App):

    def build(self):
        return self.root


if __name__ == '__main__':
    Test().run()
</code></pre>

<h1>test.py</h1>

<pre><code>User:
    BoxLayout:

        Button:
            background_normal: ''
            text: 'Ok'
</code></pre>","<p>you can use kivymd
in .py file</p>
<pre><code>from kivymd.app import MDApp
Window.clearcolor = (0.5, 0.5, 0.5, 1)
Window.size = (300, 100)

class User(Screen):
     pass

class Test(MDApp):
    def build(self):
        return self.root


if __name__ == '__main__':
        Test().run()
</code></pre>
<p>and .kv</p>
<pre><code>MDRectangleFlatButton:
        background_normal: ''
        text: 'Ok'
</code></pre>"
"Is there a simple way to add a border to Kivy Buttons: <p>I am using <code>python-2.7</code> and <code>kivy</code>. Can someone tell me that how to add a different colour border to kivy button. </p>

<h1>test.py</h1>

<pre><code>from kivy.uix.screenmanager import Screen
from kivy.app import App
from kivy.core.window import Window

Window.clearcolor = (0.5, 0.5, 0.5, 1)
Window.size = (300, 100)


class User(Screen):
    pass


class Test(App):

    def build(self):
        return self.root


if __name__ == '__main__':
    Test().run()
</code></pre>

<h1>test.py</h1>

<pre><code>User:
    BoxLayout:

        Button:
            background_normal: ''
            text: 'Ok'
</code></pre>","<p>You may want to look at the border property of the Button Class,basically:
In kiv:</p>

<pre><code>Button:
        border: (10,10,10,10)
</code></pre>

<p>I believe this will be the border image used by <code>BorderImage</code></p>

<p>Disclaimer: Not tested but its along those lines</p>"
"Is there a simple way to add a border to Kivy Buttons: <p>I am using <code>python-2.7</code> and <code>kivy</code>. Can someone tell me that how to add a different colour border to kivy button. </p>

<h1>test.py</h1>

<pre><code>from kivy.uix.screenmanager import Screen
from kivy.app import App
from kivy.core.window import Window

Window.clearcolor = (0.5, 0.5, 0.5, 1)
Window.size = (300, 100)


class User(Screen):
    pass


class Test(App):

    def build(self):
        return self.root


if __name__ == '__main__':
    Test().run()
</code></pre>

<h1>test.py</h1>

<pre><code>User:
    BoxLayout:

        Button:
            background_normal: ''
            text: 'Ok'
</code></pre>","<p>I suppose you mean <em>additionnaly</em> to the current background/border.</p>

<p>If so, you probably want to use some canvas instruction.</p>

<p>You probably want to add them in <code>canvas.before</code> so it's drawn <em>before</em> the text of the button.</p>

<p>The instruction you'll use will depend on the effect you want, but Line is probably a good start.</p>

<pre><code>Button:
    text: 'test'
    canvas.before:
        Color:
            rgba: .5, .5, .5, 1
        Line:
            width: 2
            rectangle: self.x, self.y, self.width, self.height
</code></pre>"
"I want to count the number of Palindromes in a text file using python. but this program I wrote is giving me 0 instead of 2: <p>I want to count the number of Palindromes in a text file using python. but this program I wrote is giving me 0 instead of 2
Text file:</p>

<pre><code>Tattarrattat was coined by writer James Joyce in a book called Ulysses.
Aibohphobia is a joke term used to describe the fear of palindromes.
</code></pre>

<p>Program:</p>

<pre><code>filename = ""palindrome_test.txt""
x=0
#initiation
with open('palindrome_test.txt','r') as text:
    for line in text: #for loop
        line = line.split() #to split the line into words
        for i in range(0,100):
            if line[i] == line[i][::-1]: 
                x +=1 #increment

print(x)
</code></pre>","<p>You have two errors in your code. First, the number of words in a line is, in general, not 100. Second, a capital letter is not equal to the corresponding lowercase letter. Here's a corrected version of your program:</p>

<pre><code>count = 0 # x is never a good name
with open('palindrome_test.txt','r') as text:
    for line in text: 
        words = line.lower().split() #split the lowercased line into words
        for w in words:
            if w == w[::-1]: 
                count += 1 #increment
</code></pre>

<p>Note that the word 'a' is also a palindrome (it happens twice in your text).    </p>

<p>You can replace the for loop with a list comprehension to get a better-looking program:</p>

<pre><code>count = 0
with open('palindrome_test.txt','r') as text:
    for line in text: 
        words = line.lower().split() #split the lowercased line into words
        count += sum(w == w[::-1] for w in words)
</code></pre>"
"SyntaxError in Python robot controller code: <p>I’m using <a href=""https://approxeng.github.io/approxeng.input/"" rel=""nofollow noreferrer"">approxeng.input.selectbinder</a> for a robot controller and 
<code>def __init__(self, *requirements, print_events=False, **kwargs):</code> 
throws up a <code>SyntaxError</code>, specifically the <code>print_events</code> statement. I cannot understand why. This is the full code that gives the error:</p>

<pre><code>from functools import reduce
from select import select
from threading import Thread

import approxeng.input.sys as sys
from approxeng.input.controllers import *

EV_KEY = 1
EV_REL = 2
EV_ABS = 3


class ControllerResource:
    """"""
    General resource which binds one or more controllers on entry and unbinds the event listening thread on exit.
    """"""

    def __init__(self, *requirements, print_events=True, **kwargs):
        """"""
        Create a new resource to bind and access one or more controllers. If no additional arguments are supplied this
        will find the first controller of any kind enabled by the library. Otherwise the requirements must be provided
        as a list of ControllerRequirement

        :param requirements:
            ControllerRequirement instances used, in order, to find and bind controllers. If empty this will
            be equivalent to supplying a single unfiltered requirement and will match the first specified controller.
        :param print_events:
            Defaults to False, if set to True then all events picked up by the binder will be printed to stdout. Use
            this when you're trying to figure out what events correspond to what axes and buttons!
        :param kwargs:
            Any addition keyword arguments are passed to the constructors for the controller classes. This is useful
            particularly to specify e.g. dead and hot zone ranges on discovery.
        :raises ControllerNotFoundError:
            If the requirement can't be satisfied, or no requirements are specified but there aren't any controllers.
        """"""

        self.discoveries = find_matching_controllers(*requirements, **kwargs)
        self.unbind = None
        self.print_events = print_events

    def __enter__(self):
        """"""
        Called on entering the resource block, returns the controller passed into the constructor.
        """"""
        self.unbind = bind_controllers(*self.discoveries, print_events=self.print_events)
        if len(self.discoveries) == 1:
            return self.discoveries[0].controller
        else:
            return tuple(discovery.controller for discovery in self.discoveries)

    def __exit__(self, exc_type, exc_value, traceback):
        """"""
        Called on resource exit, unbinds the controller, removing the listening thread.
        """"""
        self.unbind()


def bind_controllers(*discoveries, print_events=False):
    """"""
    Bind a controller or controllers to a set of evdev InputDevice instances, starting a thread to keep those
    controllers in sync with the state of the hardware.

    :param discoveries:
        ControllerDiscovery instances specifying the controllers and their associated input devices
    :param print_events:
        Defaults to False, if set to True then all events picked up by this binder will be printed to stdout
    :return: 
        A function which can be used to stop the event reading thread and unbind from the device
    """"""

    discoveries = list(discoveries)

    class SelectThread(Thread):
        def __init__(self):
            Thread.__init__(self, name='evdev select thread')
            self.daemon = True
            self.running = True

            self.device_to_controller_discovery = {}
            for discovery in discoveries:
                for d in discovery.devices:
                    self.device_to_controller_discovery[d.fn] = discovery
            self.all_devices = reduce(lambda x, y: x + y, [discovery.devices for discovery in discoveries])

        def run(self):

            for discovery in discoveries:
                discovery.controller.device_unique_name = discovery.name

            while self.running:
                try:
                    r, w, x = select(self.all_devices, [], [], 0.5)
                    for fd in r:
                        active_device = fd
                        controller_discovery = self.device_to_controller_discovery[active_device.fn]
                        controller = controller_discovery.controller
                        controller_devices = controller_discovery.devices
                        prefix = None
                        if controller.node_mappings is not None and len(controller_devices) &gt; 1:
                            try:
                                prefix = controller.node_mappings[active_device.name]
                            except KeyError:
                                pass
                        for event in active_device.read():
                            if print_events:
                                print(event)
                            if event.type == EV_ABS or event.type == EV_REL:
                                controller.axes.axis_updated(event, prefix=prefix)
                            elif event.type == EV_KEY:
                                # Button event
                                if event.value == 1:
                                    # Button down
                                    controller.buttons.button_pressed(event.code, prefix=prefix)
                                elif event.value == 0:
                                    # Button up
                                    controller.buttons.button_released(event.code, prefix=prefix)
                except Exception as e:
                    self.stop(e)

        def stop(self, exception=None):

            for discovery in discoveries:
                discovery.controller.device_unique_name = None
                discovery.controller.exception = exception

            self.running = False

    polling_thread = SelectThread()

    # Force an update of the LED and battery system cache
    sys.scan_cache(force_update=True)

    for device in polling_thread.all_devices:
        device.grab()

    def unbind():
        polling_thread.stop()
        for dev in polling_thread.all_devices:
            try:
                dev.ungrab()
            except IOError:
                pass

    polling_thread.start()

    return unbind
</code></pre>","<p><strong>Minimal Reproducable Example</strong></p>

<p>The following is a <a href=""https://stackoverflow.com/help/minimal-reproducible-example"">Minimal Reproducable Example</a> of the issue in the question:</p>

<pre class=""lang-py prettyprint-override""><code>class ControllerResource:

    def __init__(self, *requirements, print_events=True, **kwargs):
        pass
</code></pre>

<p>With Python 3.x this compiles just fine (i.e. you can import it without errors)., but with Python 2.x this raises a SyntaxError:</p>

<pre class=""lang-none prettyprint-override""><code>  File ""test.py"", line 3
    def __init__(self, *requirements, print_events=True, **kwargs):
                                                 ^
SyntaxError: invalid syntax
</code></pre>

<p><strong>Explanation</strong></p>

<p>The reason is that the argument list contains a regular (keyword) argument (i.e. <code>print_events=True</code>) after a varargs argument (i.e. <code>*requirements</code>).</p>

<p>In Python 3.x this is valid, and it would make the argument <code>print_events</code> a keyword-only argument (See <a href=""https://www.python.org/dev/peps/pep-3102/"" rel=""nofollow noreferrer"">PEP 3102</a> for more information and examples). Python 2.x does not support keyword-only arguments and thus the above code is not valid in Python 2.x.</p>

<p><strong>Solution</strong></p>

<p>First of all, I would highly recommend to use Python 3.x when possible, since Python 2.x is very old and it's not being maintained anymore after <a href=""https://pythonclock.org/"" rel=""nofollow noreferrer"">January 1, 2020</a>.</p>

<p>However, if you really <em>must</em> use Python 2.x for whatever reasons, you could reorder the arguments for the <code>__init__</code> method as follows:</p>

<pre class=""lang-py prettyprint-override""><code>class ControllerResource:

    def __init__(self, print_events=True, *requirements, **kwargs):
        pass
</code></pre>"
